X,Y
1,9.6513
2,16.5878
3,20.7772
4,24.6047
5,34.8315
6,37.6785
7,45.5256
8,55.3349
9,63.1665
10,65.2611
11,73.3499
12,84.1726
13,87.8505
14,95.9476
15,99.6943
16,112.6977
17,119.9839
18,119.5282
19,130.5228
20,139.6052
21,145.4758
22,151.9802
23,158.1307
24,162.289
25,174.3033
26,175.7451
27,190.7595
28,193.1358
29,199.575
30,210.5119
31,210.1722
32,220.0471
33,226.6746
34,235.0701
35,238.0624
36,252.1377
37,253.3253
38,261.7986
39,272.8942
40,272.7077
41,282.2206
42,291.0668
43,301.9306
44,306.9342
45,311.0891
46,321.9777
47,325.2257
48,331.2936
49,343.6962
50,346.8027
51,356.2565
52,361.261
53,370.817
54,375.2637
55,381.7426
56,392.528
57,395.949
58,407.8454
59,414.9178
60,414.3317
61,426.952
62,433.7902
63,440.8473
64,444.8281
65,447.9696
66,463.0455
67,466.188
68,475.5973
69,478.8953
70,484.3205
71,498.3834
72,503.5409
73,507.2538
74,511.5186
75,526.7102
76,525.3071
77,532.4906
78,542.2998
79,550.793
80,557.5912
81,568.6725
82,570.9362
83,580.1822
84,581.7212
85,587.8658
86,594.6776
87,602.7355
88,609.6228
89,621.7186
90,624.2567
91,629.9007
92,637.6664
93,644.645
94,650.8683
95,659.8601
96,666.6257
97,680.5287
98,688.4808
99,690.3576
100,693.7013
101,708.2971
102,713.8726
103,722.5062
104,726.517
105,727.7936
106,738.5802
107,749.6183
108,755.8667
109,755.9733
110,764.0752
111,779.5282
112,781.5869
113,788.2614
114,799.3765
115,798.3533
116,807.3333
117,821.6278
118,827.5305
119,828.4602
120,836.6789
121,841.2209
122,847.7379
123,863.3974
124,864.975
125,870.6151
126,882.6061
127,881.8984
128,890.3683
129,903.0718
130,902.6714
131,909.9214
132,918.2495
133,932.1704
134,940.2843
135,938.361
136,954.0949
137,951.9198
138,964.3079
139,975.5795
140,973.5183
141,986.1998
142,987.0739
143,993.8938
144,1002.4767
145,1010.299
146,1016.9674
147,1026.8362
148,1038.5261
149,1044.4465
150,1045.1354
